,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state,total_people_by_state_and_age_range,total_man_by_state_and_age_range,total_woman_by_state_and_age_range,rate_level
1445,2009,Tamaulipas,M s de 3 hasta 5 s.m.,848524,308647,0,0,0,0,0,0,0,0
1446,2009,Tamaulipas,M s de 5 hasta 10 s.m.,130563,24368,0,0,0,0,0,0,0,0
1447,2009,Tamaulipas,No especificado,52163,22365,0,0,0,0,0,0,0,0
1448,2009,Tamaulipas,No recibe ingresos,265083,45444,0,0,0,0,0,0,0,0
1449,2009,Tlaxcala,1 salario m¡nimo,2238,577,0,0,0,0,0,0,0,0
1450,2009,Tlaxcala,Menos de 1 s.m.,300695,33121,0,0,0,0,0,0,0,0
1451,2009,Tlaxcala,M s de 1 hasta 2 s.m.,3642,948,0,0,0,0,0,0,0,0
1452,2009,Tlaxcala,M s de 10 s.m.,305076,173543,0,0,0,0,0,0,0,0
1453,2009,Tlaxcala,M s de 2 hasta 3 s.m.,166160,2212,0,0,0,0,0,0,0,0
1454,2009,Tlaxcala,M s de 3 hasta 5 s.m.,402086,175911,0,0,0,0,0,0,0,0
1455,2009,Tlaxcala,M s de 5 hasta 10 s.m.,26282,6000,0,0,0,0,0,0,0,0
1456,2009,Tlaxcala,No especificado,4611,2047,0,0,0,0,0,0,0,0
1457,2009,Tlaxcala,No recibe ingresos,52459,2475,0,0,0,0,0,0,0,0
1458,2009,Veracruz,1 salario m¡nimo,153550,22628,0,0,0,0,0,0,0,0
1459,2009,Veracruz,Menos de 1 s.m.,2648562,127265,0,0,0,0,0,0,0,0
1460,2009,Veracruz,M s de 1 hasta 2 s.m.,78243,16894,0,0,0,0,0,0,0,0
1461,2009,Veracruz,M s de 10 s.m.,1986088,1161786,0,0,0,0,0,0,0,0
1462,2009,Veracruz,M s de 2 hasta 3 s.m.,1036676,30333,0,0,0,0,0,0,0,0
1463,2009,Veracruz,M s de 3 hasta 5 s.m.,1194406,436320,0,0,0,0,0,0,0,0
1464,2009,Veracruz,M s de 5 hasta 10 s.m.,181835,42656,0,0,0,0,0,0,0,0
1465,2009,Veracruz,No especificado,48994,11720,0,0,0,0,0,0,0,0
1466,2009,Veracruz,No recibe ingresos,483771,36262,0,0,0,0,0,0,0,0
1467,2009,Yucat n,1 salario m¡nimo,3835,189,0,0,0,0,0,0,0,0
1468,2009,Yucat n,Menos de 1 s.m.,412064,29371,0,0,0,0,0,0,0,0
1469,2009,Yucat n,M s de 1 hasta 2 s.m.,23220,5144,0,0,0,0,0,0,0,0
1470,2009,Yucat n,M s de 10 s.m.,567360,318211,0,0,0,0,0,0,0,0
1471,2009,Yucat n,M s de 2 hasta 3 s.m.,307745,6119,0,0,0,0,0,0,0,0
1472,2009,Yucat n,M s de 3 hasta 5 s.m.,640424,307443,0,0,0,0,0,0,0,0
1473,2009,Yucat n,M s de 5 hasta 10 s.m.,98462,24264,0,0,0,0,0,0,0,0
1474,2009,Yucat n,No especificado,31210,11046,0,0,0,0,0,0,0,0
1475,2009,Yucat n,No recibe ingresos,130373,7898,0,0,0,0,0,0,0,0
1476,2009,Zacatecas,1 salario m¡nimo,17869,891,0,0,0,0,0,0,0,0
1477,2009,Zacatecas,Menos de 1 s.m.,601873,77933,0,0,0,0,0,0,0,0
1478,2009,Zacatecas,M s de 1 hasta 2 s.m.,4059,792,0,0,0,0,0,0,0,0
1479,2009,Zacatecas,M s de 10 s.m.,378401,229794,0,0,0,0,0,0,0,0
1480,2009,Zacatecas,M s de 2 hasta 3 s.m.,203082,2885,0,0,0,0,0,0,0,0
1481,2009,Zacatecas,M s de 3 hasta 5 s.m.,202693,72036,0,0,0,0,0,0,0,0
1482,2009,Zacatecas,M s de 5 hasta 10 s.m.,49447,10927,0,0,0,0,0,0,0,0
1483,2009,Zacatecas,No especificado,9344,2899,0,0,0,0,0,0,0,0
1484,2009,Zacatecas,No recibe ingresos,30153,1705,0,0,0,0,0,0,0,0
1485,2010,Aguascalientes,1 salario m¡nimo,5984,121,0,0,0,0,0,0,0,0
1486,2010,Aguascalientes,Menos de 1 s.m.,112163,6336,0,0,0,0,0,0,0,0
1487,2010,Aguascalientes,M s de 1 hasta 2 s.m.,6103,1366,0,0,0,0,0,0,0,0
1488,2010,Aguascalientes,M s de 10 s.m.,313008,166809,0,0,0,0,0,0,0,0
1489,2010,Aguascalientes,M s de 2 hasta 3 s.m.,143229,3738,0,0,0,0,0,0,0,0
1490,2010,Aguascalientes,M s de 3 hasta 5 s.m.,384347,124122,0,0,0,0,0,0,0,0
1491,2010,Aguascalientes,M s de 5 hasta 10 s.m.,49484,8853,0,0,0,0,0,0,0,0
1492,2010,Aguascalientes,No especificado,9731,2639,0,0,0,0,0,0,0,0
1493,2010,Aguascalientes,No recibe ingresos,60141,3433,0,0,0,0,0,0,0,0
1494,2010,Baja California,1 salario m¡nimo,3991,142,0,0,0,0,0,0,0,0
1495,2010,Baja California,Menos de 1 s.m.,347271,80518,0,0,0,0,0,0,0,0
1496,2010,Baja California,M s de 1 hasta 2 s.m.,38524,9182,0,0,0,0,0,0,0,0
1497,2010,Baja California,M s de 10 s.m.,965560,471618,0,0,0,0,0,0,0,0
1498,2010,Baja California,M s de 2 hasta 3 s.m.,381820,9731,0,0,0,0,0,0,0,0
1499,2010,Baja California,M s de 3 hasta 5 s.m.,979781,408296,0,0,0,0,0,0,0,0
1500,2010,Baja California,M s de 5 hasta 10 s.m.,98296,22848,0,0,0,0,0,0,0,0
1501,2010,Baja California,No especificado,35431,13282,0,0,0,0,0,0,0,0
1502,2010,Baja California,No recibe ingresos,181301,22135,0,0,0,0,0,0,0,0
1503,2010,Baja California Sur,1 salario m¡nimo,9402,1022,0,0,0,0,0,0,0,0
1504,2010,Baja California Sur,Menos de 1 s.m.,95969,15797,0,0,0,0,0,0,0,0
1505,2010,Baja California Sur,M s de 1 hasta 2 s.m.,18229,2665,0,0,0,0,0,0,0,0
1506,2010,Baja California Sur,M s de 10 s.m.,204852,110650,0,0,0,0,0,0,0,0
1507,2010,Baja California Sur,M s de 2 hasta 3 s.m.,115828,3219,0,0,0,0,0,0,0,0
1508,2010,Baja California Sur,M s de 3 hasta 5 s.m.,83544,29351,0,0,0,0,0,0,0,0
1509,2010,Baja California Sur,M s de 5 hasta 10 s.m.,29973,5498,0,0,0,0,0,0,0,0
1510,2010,Baja California Sur,No especificado,10600,3208,0,0,0,0,0,0,0,0
1511,2010,Baja California Sur,No recibe ingresos,38973,4093,0,0,0,0,0,0,0,0
1512,2010,Campeche,1 salario m¡nimo,25993,5633,0,0,0,0,0,0,0,0
1513,2010,Campeche,Menos de 1 s.m.,299757,16730,0,0,0,0,0,0,0,0
1514,2010,Campeche,M s de 1 hasta 2 s.m.,5667,808,0,0,0,0,0,0,0,0
1515,2010,Campeche,M s de 10 s.m.,203684,120142,0,0,0,0,0,0,0,0
1516,2010,Campeche,M s de 2 hasta 3 s.m.,124518,3291,0,0,0,0,0,0,0,0
1517,2010,Campeche,M s de 3 hasta 5 s.m.,131242,65922,0,0,0,0,0,0,0,0
