,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state,total_people_by_state_and_age_range,total_man_by_state_and_age_range,total_woman_by_state_and_age_range,rate_level
1086,2008,Puebla,M s de 5 hasta 10 s.m.,240328,78380,0,0,0,0,0,0,0,0
1087,2008,Puebla,No especificado,35536,12018,0,0,0,0,0,0,0,0
1088,2008,Puebla,No recibe ingresos,272020,10577,0,0,0,0,0,0,0,0
1089,2008,Queretaro,1 salario m¡nimo,5163,149,0,0,0,0,0,0,0,0
1090,2008,Queretaro,Menos de 1 s.m.,237492,31890,0,0,0,0,0,0,0,0
1091,2008,Queretaro,M s de 1 hasta 2 s.m.,11264,1747,0,0,0,0,0,0,0,0
1092,2008,Queretaro,M s de 10 s.m.,439345,256972,0,0,0,0,0,0,0,0
1093,2008,Queretaro,M s de 2 hasta 3 s.m.,282855,11823,0,0,0,0,0,0,0,0
1094,2008,Queretaro,M s de 3 hasta 5 s.m.,597934,219099,0,0,0,0,0,0,0,0
1095,2008,Queretaro,M s de 5 hasta 10 s.m.,89795,24469,0,0,0,0,0,0,0,0
1096,2008,Queretaro,No especificado,24940,9639,0,0,0,0,0,0,0,0
1097,2008,Queretaro,No recibe ingresos,112904,7141,0,0,0,0,0,0,0,0
1098,2008,Quintana Roo,1 salario m¡nimo,5147,5147,0,0,0,0,0,0,0,0
1099,2008,Quintana Roo,Menos de 1 s.m.,135082,12934,0,0,0,0,0,0,0,0
1100,2008,Quintana Roo,M s de 1 hasta 2 s.m.,7341,1245,0,0,0,0,0,0,0,0
1101,2008,Quintana Roo,M s de 10 s.m.,425907,248414,0,0,0,0,0,0,0,0
1102,2008,Quintana Roo,M s de 2 hasta 3 s.m.,263203,14142,0,0,0,0,0,0,0,0
1103,2008,Quintana Roo,M s de 3 hasta 5 s.m.,153804,60205,0,0,0,0,0,0,0,0
1104,2008,Quintana Roo,M s de 5 hasta 10 s.m.,41732,10932,0,0,0,0,0,0,0,0
1105,2008,Quintana Roo,No especificado,28290,9997,0,0,0,0,0,0,0,0
1106,2008,Quintana Roo,No recibe ingresos,139537,12028,0,0,0,0,0,0,0,0
1107,2008,San Luis Potos¡,1 salario m¡nimo,24083,1075,0,0,0,0,0,0,0,0
1108,2008,San Luis Potos¡,Menos de 1 s.m.,796688,100787,0,0,0,0,0,0,0,0
1109,2008,San Luis Potos¡,M s de 1 hasta 2 s.m.,17805,4333,0,0,0,0,0,0,0,0
1110,2008,San Luis Potos¡,M s de 10 s.m.,624246,353783,0,0,0,0,0,0,0,0
1111,2008,San Luis Potos¡,M s de 2 hasta 3 s.m.,303568,10027,0,0,0,0,0,0,0,0
1112,2008,San Luis Potos¡,M s de 3 hasta 5 s.m.,652159,231639,0,0,0,0,0,0,0,0
1113,2008,San Luis Potos¡,M s de 5 hasta 10 s.m.,112662,31143,0,0,0,0,0,0,0,0
1114,2008,San Luis Potos¡,No especificado,16914,6522,0,0,0,0,0,0,0,0
1115,2008,San Luis Potos¡,No recibe ingresos,138399,9429,0,0,0,0,0,0,0,0
1116,2008,Sinaloa,1 salario m¡nimo,13889,496,0,0,0,0,0,0,0,0
1117,2008,Sinaloa,Menos de 1 s.m.,887211,107395,0,0,0,0,0,0,0,0
1118,2008,Sinaloa,M s de 1 hasta 2 s.m.,30073,5005,0,0,0,0,0,0,0,0
1119,2008,Sinaloa,M s de 10 s.m.,864912,482555,0,0,0,0,0,0,0,0
1120,2008,Sinaloa,M s de 2 hasta 3 s.m.,391892,16761,0,0,0,0,0,0,0,0
1121,2008,Sinaloa,M s de 3 hasta 5 s.m.,470809,166769,0,0,0,0,0,0,0,0
1122,2008,Sinaloa,M s de 5 hasta 10 s.m.,135768,39788,0,0,0,0,0,0,0,0
1123,2008,Sinaloa,No especificado,31123,13720,0,0,0,0,0,0,0,0
1124,2008,Sinaloa,No recibe ingresos,128270,7245,0,0,0,0,0,0,0,0
1125,2008,Sonora,1 salario m¡nimo,28723,2224,0,0,0,0,0,0,0,0
1126,2008,Sonora,Menos de 1 s.m.,439315,56085,0,0,0,0,0,0,0,0
1127,2008,Sonora,M s de 1 hasta 2 s.m.,17887,5952,0,0,0,0,0,0,0,0
1128,2008,Sonora,M s de 10 s.m.,726818,385562,0,0,0,0,0,0,0,0
1129,2008,Sonora,M s de 2 hasta 3 s.m.,384116,12027,0,0,0,0,0,0,0,0
1130,2008,Sonora,M s de 3 hasta 5 s.m.,747064,335790,0,0,0,0,0,0,0,0
1131,2008,Sonora,M s de 5 hasta 10 s.m.,117288,34051,0,0,0,0,0,0,0,0
1132,2008,Sonora,No especificado,35866,11085,0,0,0,0,0,0,0,0
1133,2008,Sonora,No recibe ingresos,135892,13321,0,0,0,0,0,0,0,0
1134,2008,Tabasco,1 salario m¡nimo,160539,24088,0,0,0,0,0,0,0,0
1135,2008,Tabasco,Menos de 1 s.m.,577105,22483,0,0,0,0,0,0,0,0
1136,2008,Tabasco,M s de 1 hasta 2 s.m.,15905,3446,0,0,0,0,0,0,0,0
1137,2008,Tabasco,M s de 10 s.m.,569374,283531,0,0,0,0,0,0,0,0
1138,2008,Tabasco,M s de 2 hasta 3 s.m.,259716,5002,0,0,0,0,0,0,0,0
1139,2008,Tabasco,M s de 3 hasta 5 s.m.,263569,91823,0,0,0,0,0,0,0,0
1140,2008,Tabasco,M s de 5 hasta 10 s.m.,89168,13093,0,0,0,0,0,0,0,0
1141,2008,Tabasco,No especificado,22450,6893,0,0,0,0,0,0,0,0
1142,2008,Tabasco,No recibe ingresos,136340,5646,0,0,0,0,0,0,0,0
1143,2008,Tamaulipas,1 salario m¡nimo,59476,10883,0,0,0,0,0,0,0,0
1144,2008,Tamaulipas,Menos de 1 s.m.,343166,19362,0,0,0,0,0,0,0,0
1145,2008,Tamaulipas,M s de 1 hasta 2 s.m.,38878,5320,0,0,0,0,0,0,0,0
1146,2008,Tamaulipas,M s de 10 s.m.,968610,506315,0,0,0,0,0,0,0,0
1147,2008,Tamaulipas,M s de 2 hasta 3 s.m.,556529,21561,0,0,0,0,0,0,0,0
1148,2008,Tamaulipas,M s de 3 hasta 5 s.m.,960851,375098,0,0,0,0,0,0,0,0
1149,2008,Tamaulipas,M s de 5 hasta 10 s.m.,141663,37647,0,0,0,0,0,0,0,0
1150,2008,Tamaulipas,No especificado,53923,16277,0,0,0,0,0,0,0,0
1151,2008,Tamaulipas,No recibe ingresos,250946,36247,0,0,0,0,0,0,0,0
1152,2008,Tlaxcala,1 salario m¡nimo,1468,1468,0,0,0,0,0,0,0,0
1153,2008,Tlaxcala,Menos de 1 s.m.,281316,37897,0,0,0,0,0,0,0,0
1154,2008,Tlaxcala,M s de 1 hasta 2 s.m.,4064,517,0,0,0,0,0,0,0,0
1155,2008,Tlaxcala,M s de 10 s.m.,301916,169371,0,0,0,0,0,0,0,0
1156,2008,Tlaxcala,M s de 2 hasta 3 s.m.,163457,1898,0,0,0,0,0,0,0,0
1157,2008,Tlaxcala,M s de 3 hasta 5 s.m.,414710,174087,0,0,0,0,0,0,0,0
1158,2008,Tlaxcala,M s de 5 hasta 10 s.m.,22207,5447,0,0,0,0,0,0,0,0
1159,2008,Tlaxcala,No especificado,5436,3006,0,0,0,0,0,0,0,0
1160,2008,Tlaxcala,No recibe ingresos,51720,1329,0,0,0,0,0,0,0,0
1161,2008,Veracruz,1 salario m¡nimo,117842,17260,0,0,0,0,0,0,0,0
1162,2008,Veracruz,Menos de 1 s.m.,2738757,212503,0,0,0,0,0,0,0,0
1163,2008,Veracruz,M s de 1 hasta 2 s.m.,80739,16562,0,0,0,0,0,0,0,0
1164,2008,Veracruz,M s de 10 s.m.,2086822,1171693,0,0,0,0,0,0,0,0
1165,2008,Veracruz,M s de 2 hasta 3 s.m.,1002620,39771,0,0,0,0,0,0,0,0
1166,2008,Veracruz,M s de 3 hasta 5 s.m.,1123536,386091,0,0,0,0,0,0,0,0
1167,2008,Veracruz,M s de 5 hasta 10 s.m.,137375,29729,0,0,0,0,0,0,0,0
1168,2008,Veracruz,No especificado,64091,20227,0,0,0,0,0,0,0,0
1169,2008,Veracruz,No recibe ingresos,491832,44290,0,0,0,0,0,0,0,0
1170,2008,Yucat n,1 salario m¡nimo,6524,268,0,0,0,0,0,0,0,0
1171,2008,Yucat n,Menos de 1 s.m.,400750,30685,0,0,0,0,0,0,0,0
1172,2008,Yucat n,M s de 1 hasta 2 s.m.,18603,4257,0,0,0,0,0,0,0,0
1173,2008,Yucat n,M s de 10 s.m.,490234,273289,0,0,0,0,0,0,0,0
1174,2008,Yucat n,M s de 2 hasta 3 s.m.,326825,7525,0,0,0,0,0,0,0,0
1175,2008,Yucat n,M s de 3 hasta 5 s.m.,688888,333222,0,0,0,0,0,0,0,0
1176,2008,Yucat n,M s de 5 hasta 10 s.m.,100805,21392,0,0,0,0,0,0,0,0
1177,2008,Yucat n,No especificado,26112,6797,0,0,0,0,0,0,0,0
1178,2008,Yucat n,No recibe ingresos,124123,7435,0,0,0,0,0,0,0,0
1179,2008,Zacatecas,1 salario m¡nimo,23765,703,0,0,0,0,0,0,0,0
1180,2008,Zacatecas,Menos de 1 s.m.,591299,89485,0,0,0,0,0,0,0,0
1181,2008,Zacatecas,M s de 1 hasta 2 s.m.,3513,567,0,0,0,0,0,0,0,0
1182,2008,Zacatecas,M s de 10 s.m.,386346,230985,0,0,0,0,0,0,0,0
1183,2008,Zacatecas,M s de 2 hasta 3 s.m.,202710,3118,0,0,0,0,0,0,0,0
1184,2008,Zacatecas,M s de 3 hasta 5 s.m.,184127,67821,0,0,0,0,0,0,0,0
1185,2008,Zacatecas,M s de 5 hasta 10 s.m.,45897,8817,0,0,0,0,0,0,0,0
1186,2008,Zacatecas,No especificado,7198,3280,0,0,0,0,0,0,0,0
1187,2008,Zacatecas,No recibe ingresos,33575,1430,0,0,0,0,0,0,0,0
1188,2009,Aguascalientes,1 salario m¡nimo,4512,186,0,0,0,0,0,0,0,0
1189,2009,Aguascalientes,Menos de 1 s.m.,109388,6012,0,0,0,0,0,0,0,0
1190,2009,Aguascalientes,M s de 1 hasta 2 s.m.,6088,1466,0,0,0,0,0,0,0,0
1191,2009,Aguascalientes,M s de 10 s.m.,300755,152128,0,0,0,0,0,0,0,0
1192,2009,Aguascalientes,M s de 2 hasta 3 s.m.,143470,4682,0,0,0,0,0,0,0,0
1193,2009,Aguascalientes,M s de 3 hasta 5 s.m.,334744,112086,0,0,0,0,0,0,0,0
1194,2009,Aguascalientes,M s de 5 hasta 10 s.m.,50241,9905,0,0,0,0,0,0,0,0
1195,2009,Aguascalientes,No especificado,9158,4569,0,0,0,0,0,0,0,0
1196,2009,Aguascalientes,No recibe ingresos,59738,2691,0,0,0,0,0,0,0,0
1197,2009,Baja California,1 salario m¡nimo,5156,329,0,0,0,0,0,0,0,0
1198,2009,Baja California,Menos de 1 s.m.,336117,76522,0,0,0,0,0,0,0,0
1199,2009,Baja California,M s de 1 hasta 2 s.m.,29911,4669,0,0,0,0,0,0,0,0
1200,2009,Baja California,M s de 10 s.m.,956993,456645,0,0,0,0,0,0,0,0
1201,2009,Baja California,M s de 2 hasta 3 s.m.,371509,10118,0,0,0,0,0,0,0,0
1202,2009,Baja California,M s de 3 hasta 5 s.m.,1004356,420596,0,0,0,0,0,0,0,0
1203,2009,Baja California,M s de 5 hasta 10 s.m.,119225,32937,0,0,0,0,0,0,0,0
1204,2009,Baja California,No especificado,40666,16630,0,0,0,0,0,0,0,0
1205,2009,Baja California,No recibe ingresos,180790,21806,0,0,0,0,0,0,0,0
1206,2009,Baja California Sur,1 salario m¡nimo,8765,319,0,0,0,0,0,0,0,0
1207,2009,Baja California Sur,Menos de 1 s.m.,97687,14832,0,0,0,0,0,0,0,0
1208,2009,Baja California Sur,M s de 1 hasta 2 s.m.,11069,2544,0,0,0,0,0,0,0,0
1209,2009,Baja California Sur,M s de 10 s.m.,184299,92741,0,0,0,0,0,0,0,0
1210,2009,Baja California Sur,M s de 2 hasta 3 s.m.,118109,5098,0,0,0,0,0,0,0,0
1211,2009,Baja California Sur,M s de 3 hasta 5 s.m.,65480,23653,0,0,0,0,0,0,0,0
1212,2009,Baja California Sur,M s de 5 hasta 10 s.m.,25937,5194,0,0,0,0,0,0,0,0
1213,2009,Baja California Sur,No especificado,6045,2762,0,0,0,0,0,0,0,0
1214,2009,Baja California Sur,No recibe ingresos,44612,4615,0,0,0,0,0,0,0,0
1215,2009,Campeche,1 salario m¡nimo,35587,6890,0,0,0,0,0,0,0,0
1216,2009,Campeche,Menos de 1 s.m.,282433,22775,0,0,0,0,0,0,0,0
1217,2009,Campeche,M s de 1 hasta 2 s.m.,3770,504,0,0,0,0,0,0,0,0
1218,2009,Campeche,M s de 10 s.m.,205494,119005,0,0,0,0,0,0,0,0
1219,2009,Campeche,M s de 2 hasta 3 s.m.,117606,4353,0,0,0,0,0,0,0,0
1220,2009,Campeche,M s de 3 hasta 5 s.m.,123348,60707,0,0,0,0,0,0,0,0
1221,2009,Campeche,M s de 5 hasta 10 s.m.,17632,4386,0,0,0,0,0,0,0,0
1222,2009,Campeche,No especificado,8474,2423,0,0,0,0,0,0,0,0
1223,2009,Campeche,No recibe ingresos,59261,2809,0,0,0,0,0,0,0,0
1224,2009,Chiapas,1 salario m¡nimo,3368,3368,0,0,0,0,0,0,0,0
1225,2009,Chiapas,Menos de 1 s.m.,2640555,130026,0,0,0,0,0,0,0,0
1226,2009,Chiapas,M s de 1 hasta 2 s.m.,32918,6699,0,0,0,0,0,0,0,0
1227,2009,Chiapas,M s de 10 s.m.,1032910,700494,0,0,0,0,0,0,0,0
1228,2009,Chiapas,M s de 2 hasta 3 s.m.,474031,8452,0,0,0,0,0,0,0,0
1229,2009,Chiapas,M s de 3 hasta 5 s.m.,541775,224555,0,0,0,0,0,0,0,0
1230,2009,Chiapas,M s de 5 hasta 10 s.m.,158052,30226,0,0,0,0,0,0,0,0
1231,2009,Chiapas,No especificado,11825,4025,0,0,0,0,0,0,0,0
1232,2009,Chiapas,No recibe ingresos,222640,8625,0,0,0,0,0,0,0,0
1233,2009,Chihuahua,1 salario m¡nimo,12907,902,0,0,0,0,0,0,0,0
1234,2009,Chihuahua,Menos de 1 s.m.,575537,26558,0,0,0,0,0,0,0,0
1235,2009,Chihuahua,M s de 1 hasta 2 s.m.,23122,1796,0,0,0,0,0,0,0,0
1236,2009,Chihuahua,M s de 10 s.m.,883946,369475,0,0,0,0,0,0,0,0
1237,2009,Chihuahua,M s de 2 hasta 3 s.m.,439102,13383,0,0,0,0,0,0,0,0
1238,2009,Chihuahua,M s de 3 hasta 5 s.m.,1024663,377173,0,0,0,0,0,0,0,0
1239,2009,Chihuahua,M s de 5 hasta 10 s.m.,94511,30169,0,0,0,0,0,0,0,0
1240,2009,Chihuahua,No especificado,54337,13773,0,0,0,0,0,0,0,0
1241,2009,Chihuahua,No recibe ingresos,142334,19163,0,0,0,0,0,0,0,0
1242,2009,Ciudad de Mxico,1 salario m¡nimo,9993,2747,0,0,0,0,0,0,0,0
1243,2009,Ciudad de Mxico,Menos de 1 s.m.,53104,6502,0,0,0,0,0,0,0,0
1244,2009,Ciudad de Mxico,M s de 1 hasta 2 s.m.,102006,22333,0,0,0,0,0,0,0,0
1245,2009,Ciudad de Mxico,M s de 10 s.m.,2838228,1427100,0,0,0,0,0,0,0,0
1246,2009,Ciudad de Mxico,M s de 2 hasta 3 s.m.,789913,54507,0,0,0,0,0,0,0,0
1247,2009,Ciudad de Mxico,M s de 3 hasta 5 s.m.,1850135,662424,0,0,0,0,0,0,0,0
1248,2009,Ciudad de Mxico,M s de 5 hasta 10 s.m.,458558,129663,0,0,0,0,0,0,0,0
1249,2009,Ciudad de Mxico,No especificado,324638,118002,0,0,0,0,0,0,0,0
1250,2009,Ciudad de Mxico,No recibe ingresos,973562,98998,0,0,0,0,0,0,0,0
1251,2009,Coahuila,1 salario m¡nimo,57091,2764,0,0,0,0,0,0,0,0
1252,2009,Coahuila,Menos de 1 s.m.,244282,11431,0,0,0,0,0,0,0,0
1253,2009,Coahuila,M s de 1 hasta 2 s.m.,19004,4482,0,0,0,0,0,0,0,0
1254,2009,Coahuila,M s de 10 s.m.,780684,419299,0,0,0,0,0,0,0,0
1255,2009,Coahuila,M s de 2 hasta 3 s.m.,333592,15281,0,0,0,0,0,0,0,0
1256,2009,Coahuila,M s de 3 hasta 5 s.m.,867910,236047,0,0,0,0,0,0,0,0
1257,2009,Coahuila,M s de 5 hasta 10 s.m.,144462,32513,0,0,0,0,0,0,0,0
1258,2009,Coahuila,No especificado,44943,14578,0,0,0,0,0,0,0,0
1259,2009,Coahuila,No recibe ingresos,157250,9180,0,0,0,0,0,0,0,0
1260,2009,Colima,1 salario m¡nimo,7062,118,0,0,0,0,0,0,0,0
1261,2009,Colima,Menos de 1 s.m.,154466,21797,0,0,0,0,0,0,0,0
1262,2009,Colima,M s de 1 hasta 2 s.m.,8570,1601,0,0,0,0,0,0,0,0
1263,2009,Colima,M s de 10 s.m.,190802,120876,0,0,0,0,0,0,0,0
1264,2009,Colima,M s de 2 hasta 3 s.m.,100517,4316,0,0,0,0,0,0,0,0
1265,2009,Colima,M s de 3 hasta 5 s.m.,108692,41641,0,0,0,0,0,0,0,0
1266,2009,Colima,M s de 5 hasta 10 s.m.,23071,6438,0,0,0,0,0,0,0,0
1267,2009,Colima,No especificado,12646,4880,0,0,0,0,0,0,0,0
1268,2009,Colima,No recibe ingresos,69642,11843,0,0,0,0,0,0,0,0
1269,2009,Durango,1 salario m¡nimo,53505,4452,0,0,0,0,0,0,0,0
1270,2009,Durango,Menos de 1 s.m.,427111,13854,0,0,0,0,0,0,0,0
1271,2009,Durango,M s de 1 hasta 2 s.m.,13759,2156,0,0,0,0,0,0,0,0
1272,2009,Durango,M s de 10 s.m.,394454,245256,0,0,0,0,0,0,0,0
1273,2009,Durango,M s de 2 hasta 3 s.m.,175202,3946,0,0,0,0,0,0,0,0
1274,2009,Durango,M s de 3 hasta 5 s.m.,308590,93078,0,0,0,0,0,0,0,0
1275,2009,Durango,M s de 5 hasta 10 s.m.,47908,10181,0,0,0,0,0,0,0,0
1276,2009,Durango,No especificado,16660,7973,0,0,0,0,0,0,0,0
1277,2009,Durango,No recibe ingresos,113681,4669,0,0,0,0,0,0,0,0
1278,2009,Estado de Mxico,1 salario m¡nimo,31195,332,0,0,0,0,0,0,0,0
1279,2009,Estado de Mxico,Menos de 1 s.m.,1276226,147078,0,0,0,0,0,0,0,0
1280,2009,Estado de Mxico,M s de 1 hasta 2 s.m.,131099,16376,0,0,0,0,0,0,0,0
1281,2009,Estado de Mxico,M s de 10 s.m.,4583448,2280580,0,0,0,0,0,0,0,0
1282,2009,Estado de Mxico,M s de 2 hasta 3 s.m.,2197915,66107,0,0,0,0,0,0,0,0
1283,2009,Estado de Mxico,M s de 3 hasta 5 s.m.,4198117,1416714,0,0,0,0,0,0,0,0
1284,2009,Estado de Mxico,M s de 5 hasta 10 s.m.,657979,156681,0,0,0,0,0,0,0,0
1285,2009,Estado de Mxico,No especificado,255541,91555,0,0,0,0,0,0,0,0
1286,2009,Estado de Mxico,No recibe ingresos,1800680,71824,0,0,0,0,0,0,0,0
1287,2009,Guanajuato,1 salario m¡nimo,14440,2478,0,0,0,0,0,0,0,0
1288,2009,Guanajuato,Menos de 1 s.m.,992905,132672,0,0,0,0,0,0,0,0
1289,2009,Guanajuato,M s de 1 hasta 2 s.m.,33677,2177,0,0,0,0,0,0,0,0
1290,2009,Guanajuato,M s de 10 s.m.,1556701,893052,0,0,0,0,0,0,0,0
1291,2009,Guanajuato,M s de 2 hasta 3 s.m.,603280,11729,0,0,0,0,0,0,0,0
1292,2009,Guanajuato,M s de 3 hasta 5 s.m.,1958263,720071,0,0,0,0,0,0,0,0
1293,2009,Guanajuato,M s de 5 hasta 10 s.m.,229531,62008,0,0,0,0,0,0,0,0
1294,2009,Guanajuato,No especificado,41284,13214,0,0,0,0,0,0,0,0
1295,2009,Guanajuato,No recibe ingresos,214715,21578,0,0,0,0,0,0,0,0
1296,2009,Guerrero,1 salario m¡nimo,10226,280,0,0,0,0,0,0,0,0
1297,2009,Guerrero,Menos de 1 s.m.,1625031,282270,0,0,0,0,0,0,0,0
1298,2009,Guerrero,M s de 1 hasta 2 s.m.,26190,4281,0,0,0,0,0,0,0,0
1299,2009,Guerrero,M s de 10 s.m.,889771,587610,0,0,0,0,0,0,0,0
1300,2009,Guerrero,M s de 2 hasta 3 s.m.,359189,8648,0,0,0,0,0,0,0,0
1301,2009,Guerrero,M s de 3 hasta 5 s.m.,553681,318600,0,0,0,0,0,0,0,0
1302,2009,Guerrero,M s de 5 hasta 10 s.m.,107887,15357,0,0,0,0,0,0,0,0
1303,2009,Guerrero,No especificado,26724,12664,0,0,0,0,0,0,0,0
1304,2009,Guerrero,No recibe ingresos,196131,3425,0,0,0,0,0,0,0,0
1305,2009,Hidalgo,1 salario m¡nimo,13134,1565,0,0,0,0,0,0,0,0
1306,2009,Hidalgo,Menos de 1 s.m.,991280,126481,0,0,0,0,0,0,0,0
1307,2009,Hidalgo,M s de 1 hasta 2 s.m.,25732,7085,0,0,0,0,0,0,0,0
1308,2009,Hidalgo,M s de 10 s.m.,610123,339452,0,0,0,0,0,0,0,0
1309,2009,Hidalgo,M s de 2 hasta 3 s.m.,319744,5594,0,0,0,0,0,0,0,0
1310,2009,Hidalgo,M s de 3 hasta 5 s.m.,587252,259323,0,0,0,0,0,0,0,0
1311,2009,Hidalgo,M s de 5 hasta 10 s.m.,80847,12629,0,0,0,0,0,0,0,0
1312,2009,Hidalgo,No especificado,20840,7486,0,0,0,0,0,0,0,0
1313,2009,Hidalgo,No recibe ingresos,150517,9781,0,0,0,0,0,0,0,0
1314,2009,Jalisco,1 salario m¡nimo,18468,733,0,0,0,0,0,0,0,0
1315,2009,Jalisco,Menos de 1 s.m.,1156582,115727,0,0,0,0,0,0,0,0
1316,2009,Jalisco,M s de 1 hasta 2 s.m.,56357,17027,0,0,0,0,0,0,0,0
1317,2009,Jalisco,M s de 10 s.m.,2350579,1307268,0,0,0,0,0,0,0,0
1318,2009,Jalisco,M s de 2 hasta 3 s.m.,962894,26316,0,0,0,0,0,0,0,0
1319,2009,Jalisco,M s de 3 hasta 5 s.m.,2286308,791696,0,0,0,0,0,0,0,0
1320,2009,Jalisco,M s de 5 hasta 10 s.m.,409196,100231,0,0,0,0,0,0,0,0
1321,2009,Jalisco,No especificado,92378,33498,0,0,0,0,0,0,0,0
1322,2009,Jalisco,No recibe ingresos,404068,43487,0,0,0,0,0,0,0,0
1323,2009,Michoac n,1 salario m¡nimo,8827,1749,0,0,0,0,0,0,0,0
1324,2009,Michoac n,Menos de 1 s.m.,1376950,136151,0,0,0,0,0,0,0,0
1325,2009,Michoac n,M s de 1 hasta 2 s.m.,18367,3638,0,0,0,0,0,0,0,0
1326,2009,Michoac n,M s de 10 s.m.,1445418,875536,0,0,0,0,0,0,0,0
1327,2009,Michoac n,M s de 2 hasta 3 s.m.,553122,10741,0,0,0,0,0,0,0,0
1328,2009,Michoac n,M s de 3 hasta 5 s.m.,880870,301711,0,0,0,0,0,0,0,0
1329,2009,Michoac n,M s de 5 hasta 10 s.m.,141783,19710,0,0,0,0,0,0,0,0
1330,2009,Michoac n,No especificado,28642,13259,0,0,0,0,0,0,0,0
1331,2009,Michoac n,No recibe ingresos,207718,15090,0,0,0,0,0,0,0,0
1332,2009,Morelos,1 salario m¡nimo,10172,10172,0,0,0,0,0,0,0,0
1333,2009,Morelos,Menos de 1 s.m.,390401,36101,0,0,0,0,0,0,0,0
1334,2009,Morelos,M s de 1 hasta 2 s.m.,7453,1030,0,0,0,0,0,0,0,0
1335,2009,Morelos,M s de 10 s.m.,585653,358694,0,0,0,0,0,0,0,0
1336,2009,Morelos,M s de 2 hasta 3 s.m.,277686,5547,0,0,0,0,0,0,0,0
1337,2009,Morelos,M s de 3 hasta 5 s.m.,329566,126264,0,0,0,0,0,0,0,0
1338,2009,Morelos,M s de 5 hasta 10 s.m.,53269,12182,0,0,0,0,0,0,0,0
1339,2009,Morelos,No especificado,21390,6578,0,0,0,0,0,0,0,0
1340,2009,Morelos,No recibe ingresos,109264,8058,0,0,0,0,0,0,0,0
1341,2009,Nacional,1 salario m¡nimo,829450,91645,0,0,0,0,0,0,0,0
1342,2009,Nacional,Menos de 1 s.m.,24869173,2672897,0,0,0,0,0,0,0,0
1343,2009,Nacional,M s de 1 hasta 2 s.m.,885133,170140,0,0,0,0,0,0,0,0
1344,2009,Nacional,M s de 10 s.m.,31633550,17474770,0,0,0,0,0,0,0,0
1345,2009,Nacional,M s de 2 hasta 3 s.m.,14381669,448358,0,0,0,0,0,0,0,0
1346,2009,Nacional,M s de 3 hasta 5 s.m.,27339202,10335097,0,0,0,0,0,0,0,0
1347,2009,Nacional,M s de 5 hasta 10 s.m.,4490253,1099663,0,0,0,0,0,0,0,0
1348,2009,Nacional,No especificado,1509899,551554,0,0,0,0,0,0,0,0
1349,2009,Nacional,No recibe ingresos,7824362,567749,0,0,0,0,0,0,0,0
1350,2009,Nayarit,1 salario m¡nimo,2516,2516,0,0,0,0,0,0,0,0
1351,2009,Nayarit,Menos de 1 s.m.,365668,26637,0,0,0,0,0,0,0,0
1352,2009,Nayarit,M s de 1 hasta 2 s.m.,9702,1939,0,0,0,0,0,0,0,0
1353,2009,Nayarit,M s de 10 s.m.,345000,226225,0,0,0,0,0,0,0,0
1354,2009,Nayarit,M s de 2 hasta 3 s.m.,144349,4124,0,0,0,0,0,0,0,0
1355,2009,Nayarit,M s de 3 hasta 5 s.m.,168236,64444,0,0,0,0,0,0,0,0
1356,2009,Nayarit,M s de 5 hasta 10 s.m.,36313,8471,0,0,0,0,0,0,0,0
1357,2009,Nayarit,No especificado,8984,3208,0,0,0,0,0,0,0,0
1358,2009,Nayarit,No recibe ingresos,61459,5242,0,0,0,0,0,0,0,0
1359,2009,Nuevo Le¢n,1 salario m¡nimo,9060,1556,0,0,0,0,0,0,0,0
1360,2009,Nuevo Le¢n,Menos de 1 s.m.,152973,7732,0,0,0,0,0,0,0,0
1361,2009,Nuevo Le¢n,M s de 1 hasta 2 s.m.,43735,7304,0,0,0,0,0,0,0,0
1362,2009,Nuevo Le¢n,M s de 10 s.m.,1259653,661266,0,0,0,0,0,0,0,0
1363,2009,Nuevo Le¢n,M s de 2 hasta 3 s.m.,721004,36325,0,0,0,0,0,0,0,0
1364,2009,Nuevo Le¢n,M s de 3 hasta 5 s.m.,1625783,452891,0,0,0,0,0,0,0,0
1365,2009,Nuevo Le¢n,M s de 5 hasta 10 s.m.,344466,100563,0,0,0,0,0,0,0,0
1366,2009,Nuevo Le¢n,No especificado,98950,38693,0,0,0,0,0,0,0,0
1367,2009,Nuevo Le¢n,No recibe ingresos,451333,28210,0,0,0,0,0,0,0,0
1368,2009,Oaxaca,1 salario m¡nimo,6596,826,0,0,0,0,0,0,0,0
1369,2009,Oaxaca,Menos de 1 s.m.,2066880,300546,0,0,0,0,0,0,0,0
1370,2009,Oaxaca,M s de 1 hasta 2 s.m.,11211,1995,0,0,0,0,0,0,0,0
1371,2009,Oaxaca,M s de 10 s.m.,916152,611046,0,0,0,0,0,0,0,0
1372,2009,Oaxaca,M s de 2 hasta 3 s.m.,465279,7207,0,0,0,0,0,0,0,0
1373,2009,Oaxaca,M s de 3 hasta 5 s.m.,770883,510917,0,0,0,0,0,0,0,0
1374,2009,Oaxaca,M s de 5 hasta 10 s.m.,67604,19513,0,0,0,0,0,0,0,0
1375,2009,Oaxaca,No especificado,17166,5201,0,0,0,0,0,0,0,0
1376,2009,Oaxaca,No recibe ingresos,190071,13060,0,0,0,0,0,0,0,0
